attackkey,overlap,total_received,tp,fp,tn,fn
d3d5d8c57ffd4dd8bbf51cdf0f46e5ef,0,1582358,1582358,0,1582358,0
26dd1cc577105e675089fba903fdcfe5,0,1582350,1582358,8,1582350,0
eea4d8aa213a1b0c499e50b2d956d618,0,1582358,1582358,0,1582358,0
6a2cde8c04be281ee0ddff2e1a3bd21e,0,1582216,1582358,142,1582216,0
60799e823b0704562c763b07c4df5a55,0,1582300,1582358,58,1582300,0
5e08c144bd92404c22e7c8bf5aa1f75a,0,1582272,1582358,86,1582272,0
674cdc64e1c911f123891e4a4c61bc1f,0,1582334,1582358,24,1582334,0
a3644f57a18ccb958a3d64f96e943828,0,1582358,1582358,0,1582358,0
03c18359ae35b93a3657b5971fd952fa,0,1582358,1582358,0,1582358,0
3e04da1987736f143f2a69ca98ac95cc,0,1582358,1582358,0,1582358,0
967a3709db351926be99ddc0f7d4697a,0,1582358,1582358,0,1582358,0
9caeb10b131dfa091e9b2436f87782e9,0,1577832,1582358,4526,1577832,0
0539e6100beb380efd42766a5d8623df,0,1577832,1582358,4526,1577832,0
49abe772eb3942b7587e50a3f705e7ed,0,1577832,1582358,4526,1577832,0
6b443b1d79fc5ad00f9eaa65e08b5ae8,0,1582358,1582358,0,1582358,0
6e597258ec797b61981660f1108334a8,0,1577832,1582358,4526,1577832,0
a0fd113a9a21d37b5303d9c93bd505b2,0,1577832,1582358,4526,1577832,0
20951de69e85a3917bd2606e6fea77f9_2,0,1582314,1582358,44,1582314,0
565f16c101f6e26f25cbdc0f0258e04b,0,1582358,1582358,0,1582358,0
fd06f0fb58e60cf868de83b5ab6fc350,0,1582358,1582358,0,1582358,0
d0a8baa3a49351a64abe15bacfcbfd4c,0,1582358,1582358,0,1582358,0
5bdf5fc1273bda23ccaff90e5cffb40f,0,1582358,1582358,0,1582358,0
b4348b2293cf64d074c1248b78f4b27d,0,1582346,1582358,12,1582346,0
740fa950731369d92dafa370dd254efe_2,0,1582358,1582358,0,1582358,0
85028bd738d79e4ac037422e25405fc3,0,1582346,1582358,12,1582346,0
bd3dd0d241ed5dafb0837c557ffeb3c3,0,1582358,1582358,0,1582358,0
41fd4b0156a33263722ee03c74e238a4,0,1577832,1582358,4526,1577832,0
5c8e952b86c6f58a0635dd4a5bcd46e6,0,1582358,1582358,0,1582358,0
9f2d134c9d1f77d377420946b382ca9c,0,1582358,1582358,0,1582358,0
bf0d6dd9cc4e2914a0403eadc58e4973,0,1582358,1582358,0,1582358,0
df41dbb5f503647078a8dec3dc446856,0,1581912,1582358,446,1581912,0
049411a0b2a96a29632f25a0608e067b,0,1577832,1582358,4526,1577832,0
abdc10fabdb343768c96dc3e3d30372a,0,1582358,1582358,0,1582358,0
bf6bf159d7237d3dfcb9ff0d68764079,0,1582358,1582358,0,1582358,0
7ff63ada8c94b8d6064aa26f7e9efbac,0,1582358,1582358,0,1582358,0
10c774e657315ee95dc8501cdfb7f3fa,0,1582358,1582358,0,1582358,0
7ad76e2a6a959ed4b06f02ec51dcf566,0,1582358,1582358,0,1582358,0
86bf22271e530d57313cc3c4d2e73c9d,0,1582358,1582358,0,1582358,0
6c94d9829f082c1d8174d6086d840667,0,1582358,1582358,0,1582358,0
07047eb879829a0f00ba03fa1425a2ae,0,1582358,1582358,0,1582358,0
b31fef7a664bc7101a0754852a977026,0,1582358,1582358,0,1582358,0
524daa91009bad8692f7770dc61beb72,0,1582358,1582358,0,1582358,0
a5bf72a3499a3b4d8e3f0371dbb3bdcf,0,1577832,1582358,4526,1577832,0
c2c0ae9c5b744fc888fc6ef94584d67f,0,1577832,1582358,4526,1577832,0
634eba16476dc1a99beecafc6689bd87,0,1582350,1582358,8,1582350,0
c093f324dc7908241b9be60bb8b58473,0,1582358,1582358,0,1582358,0
14dd8e6fdcecd5d02573af4ae38f2449,0,1577832,1582358,4526,1577832,0
327c4fea908ad500186f3b281ffd9c85,0,1582358,1582358,0,1582358,0
da27a3365d19888db6a6e3be0b29e669,0,1582358,1582358,0,1582358,0
9b87222053c383934c1347e45f383701,0,1582358,1582358,0,1582358,0
f17db0d141a535c1b18d70cbfe13a6a5,0,1582358,1582358,0,1582358,0
00631e77cb5c08e9d5e7673a73bcd887,0,1582358,1582358,0,1582358,0
ea613fa3e9269770947fc40aa7d165d5,0,1579980,1582358,2378,1579980,0
74c05a70914089e0dc3c39f4c4648aac,0,1582358,1582358,0,1582358,0
6045eb0742cfeb9721590e44dcb83208,0,1582350,1582358,8,1582350,0
8a327818e8786fe1d94ff545c7d4ce7e,0,1582358,1582358,0,1582358,0
7990fcd42b74519aff05f02ce717d50f,0,1577832,1582358,4526,1577832,0
d5fc48e54ce98252f2c748728c34a25a,0,1582358,1582358,0,1582358,0
ae87f4dbbd8c4ccc941995ff673e29b0,0,1582358,1582358,0,1582358,0
e1a41a64f56779841448b722ad95cbbf,0,1582358,1582358,0,1582358,0
324fe87b957724e969ef1e3893ea67b6,0,1409254,1582358,173104,1409254,0
c9518f49edfb54b9e668e656ae1f3729,0,1577832,1582358,4526,1577832,0
ea8b1733f065b4e75cd3e34de20868a8,0,1577832,1582358,4526,1577832,0
9c0d8554ae6c7f77a0da512bc8deb21b,0,1577832,1582358,4526,1577832,0
f6cffd0fea8a432584bef1c3c5800868,0,1577832,1582358,4526,1577832,0
f621936359aca6116a3bd69b370c2a67,0,1582358,1582358,0,1582358,0
2bf238448118adaa7dc3695830b084af,0,1582358,1582358,0,1582358,0
7321dc7d0fa7d9f4855d59f90406bd18,0,1577832,1582358,4526,1577832,0
dff11da43816e0bf1620739cd003b51d,0,1577832,1582358,4526,1577832,0
e9500bc4af5548ba856451a23466073e,0,1409254,1582358,173104,1409254,0
d7402eceef0df214a61e9e31a20097c9,0,1582358,1582358,0,1582358,0
804309d83ccf2129e5172588f43db294,0,1577832,1582358,4526,1577832,0
cc5e9a48994a432cd8710048da3e75a8,0,1577832,1582358,4526,1577832,0
7ae2d3d7a61ffe32d239cc2e68335bbb,0,1577832,1582358,4526,1577832,0
a0bf8deaa640bfe5018eebf1cba426e2,0,1577832,1582358,4526,1577832,0
a3e78a6e687223edf712320712686ab2,0,1582358,1582358,0,1582358,0
d0ccb10c7e08ac2d4a16804d53b30845,0,1582272,1582358,86,1582272,0
2e10fe671e45a71cfbab9092ff6beea1,0,1577832,1582358,4526,1577832,0
a617d951c39074408467eb3dabfc238d,0,1581536,1582358,822,1581536,0
dce5ef87684753c1c5588f1197ac59f6,0,1577832,1582358,4526,1577832,0
201aed9b31e31c7271b5a9e03fbc0391,0,1577832,1582358,4526,1577832,0
07618097a64126cfe87e099b3054a073,0,1577832,1582358,4526,1577832,0
97cf1b96a7cbe3dd19d6d5baa70db1cd,0,1577832,1582358,4526,1577832,0
c75d925b98e7fe29adeb6e3f5983817f,0,1582358,1582358,0,1582358,0
80f37aac99809f9890e3d5dd9993a2a6,0,1577832,1582358,4526,1577832,0
1275d75edb74854d9fa0e13325f253a6,0,1577832,1582358,4526,1577832,0
01dd938e512bd560020dee459a32a5d5,0,1577832,1582358,4526,1577832,0
9c436570b69e98e36fcff55f51b7db02,0,1582358,1582358,0,1582358,0
62d0da3c450842f40da8ae4b0c32d345,0,1577832,1582358,4526,1577832,0
473d2481db15f5d783405db702ed72e7,0,1582358,1582358,0,1582358,0
3f2077bccba2ff8672cab158b258432d,0,1577832,1582358,4526,1577832,0
2bb0fc4cdf229a8b2114cec0d6362597,0,1582346,1582358,12,1582346,0
7f2b2ef41a396bbd0269a4801fd84274,0,1582358,1582358,0,1582358,0
bf658bd4e4dbe9d31c125f531a3d27ab,0,1582358,1582358,0,1582358,0
32bed1d717a0564a158151955cb70843,0,1582346,1582358,12,1582346,0
d4bd7ac9dd3b3ca6e1d6629277656f1c,0,1577832,1582358,4526,1577832,0
187e8c4e14e803d71c75b2cd102b6fc2,0,1582358,1582358,0,1582358,0
250f838f72253334e974d80d80b015b9,0,1577832,1582358,4526,1577832,0
999b725c3c1ea70afc1c7df860b41968,0,1577832,1582358,4526,1577832,0
45efbd82e475f6ec51928fbeb00aab86,0,1577832,1582358,4526,1577832,0
d99f6d570c052b54911cd2cc894cbbe3,0,1577832,1582358,4526,1577832,0
bd9cb3b69f02c8fdba7efc5bb8a6a4db,0,1582358,1582358,0,1582358,0
a8f13befb53acd25aec1c3f92b1ee02b,0,1582358,1582358,0,1582358,0
3a1d1fd43a8aa1a6e890bbe922fab1c4,0,1577832,1582358,4526,1577832,0
1d114fcbaccdd54b5a60d353087f88b6,0,1577832,1582358,4526,1577832,0
73775e45dd5c3f8ab70c0484ad2f9a3f,0,1577832,1582358,4526,1577832,0
ff23e4055ca26ec6b05177d71fdfbcda,0,1582346,1582358,12,1582346,0
a7b3506d4d20bf5eff18958737bc025a,0,1582358,1582358,0,1582358,0
6c20366b62b47d0ccf5baf0973ac2dcd,0,1577832,1582358,4526,1577832,0
609a510cd92b735eebee0accba5396d8,0,1581414,1582358,944,1581414,0
946f30995594fceed5ce8b597917ffa7,0,1577832,1582358,4526,1577832,0
c8bb46a460eb7c5a0801e9dfa11cf4a3,0,1577832,1582358,4526,1577832,0
d73d0246981dde6351ef6e9d3085dab5,0,1582358,1582358,0,1582358,0
a1cb072097c76dc0ccd86bf0f27e4ea6,0,1582358,1582358,0,1582358,0
bf1727bdaefe5ddd4cef7fdfecdf2379,0,1582358,1582358,0,1582358,0
e6835a1145558209507d89dcf5cdfae8,0,1582358,1582358,0,1582358,0
ebfe0afeea7f5417f340782d8a4d6f83,0,1582358,1582358,0,1582358,0
1500b674e1ef027b001efacd4a0dcff5,0,1582358,1582358,0,1582358,0
368726a5d6fdb862413347cd6a8e8bed,0,1582358,1582358,0,1582358,0
8b5cc78cf89aaa128cfcac63f49d008d,0,1582346,1582358,12,1582346,0
6449e693598c3acfeabbc92c9249bbfe,0,1582116,1582358,242,1582116,0
19655b0e20c74dcffa056a78cde7ee0f,0,1577832,1582358,4526,1577832,0
3cf3443b80474e69f9cc719ea7ebab11,0,1577832,1582358,4526,1577832,0
be5e53797846dd305fd8c450c3ce1021_2,0,1582350,1582358,8,1582350,0
f2724bf2d516c91e8373f7153a595ff1_2,0,1582350,1582358,8,1582350,0
e3339b9b837343c4aac4616f6ef57448,0,1582358,1582358,0,1582358,0
2e7f29b29b7e038dbf23aa25766a378f,0,1579404,1582358,2954,1579404,0
2ed22f7c537425a39329988d6979810f,0,1577832,1582358,4526,1577832,0
7f19b44817e1d16ea99933c6bce54131,0,380500,1582358,1201858,380500,0
a877a80fc3e21a6f001c4d2f514ed993,0,232150,1582358,1350208,232150,0
066e98334a23b2b6bd4d95d572fea817,0,485678,1582358,1096680,485678,0
1ecef49dea64522e8a301e772884d1df,0,358140,1582358,1224218,358140,0
26d9ccb748258b7ffced4190fdaf32ad,0,1582358,1582358,0,1582358,0
27cfc69ee315e649068abc9fbafb14cd,0,1582350,1582358,8,1582350,0
2d3326f9694e1399c6ce55e0c04bdd52,0,1581548,1582358,810,1581548,0
4820f8926277836e275742eb24ce7f6f,0,1582350,1582358,8,1582350,0
4a0140eeb1c0047de2984220cbd5ef7e,0,1582350,1582358,8,1582350,0
577d365326ded44f30f381baf53a0d85,0,1582350,1582358,8,1582350,0
93d5b49b12f9bb961bf2f4638989a247,0,1582350,1582358,8,1582350,0
9ae4af2b74c64e5243e5ef791c9894ff,0,1582358,1582358,0,1582358,0
a11ba565a01155351afe6d433594d238,0,1582358,1582358,0,1582358,0
a43a626aff8968889e14096fcdc5e1f5,0,1582350,1582358,8,1582350,0
be5e53797846dd305fd8c450c3ce1021_4,0,1582350,1582358,8,1582350,0
be5e53797846dd305fd8c450c3ce1021_5,0,1582350,1582358,8,1582350,0
eec395e95bef50e85c21bc48e097f91e,0,1582350,1582358,8,1582350,0
f2724bf2d516c91e8373f7153a595ff1_4,0,1582350,1582358,8,1582350,0
f2724bf2d516c91e8373f7153a595ff1_5,0,1582350,1582358,8,1582350,0
