attackkey,overlap,total_received,tp,fp,tn,fn
ffd1822ab7ae0e21e4b618bbcbd3dfb5,0,1466250,1582358,116108,1466250,0
0b605258e1a354f3552dd45b4dd3ba54,0,1466250,1582358,116108,1466250,0
e724b47f258c1e651e2ce72bd6f989c8,0,1097130,1582358,485228,1097130,0
8a97b302d5a323de03cf4016c2f76bbe,0,1097130,1582358,485228,1097130,0
9592e18cdfc5f07368695bef8a42c603,0,1466250,1582358,116108,1466250,0
eec7de3e8a4063a6ae4565d7f959fe3b,0,1097130,1582358,485228,1097130,0
7fc0cd836b1f8b32bae78b6cd7cacf46,0,1466250,1582358,116108,1466250,0
adf03baad2a313a99ac0b30dc09c4f27,0,1097130,1582358,485228,1097130,0
975915f31ab85a3b39ede1a692a43eb2,0,1466250,1582358,116108,1466250,0
2e72ed77eef73c62fc85c49a13a09b20,0,1097130,1582358,485228,1097130,0
0ac695f2b205e619618265f72b69ff2a,0,1097130,1582358,485228,1097130,0
64be1c0b77483f14abbbdbb76d5ec305,0,1097130,1582358,485228,1097130,0
d61af81c218d0dc7cc4ce598048e1513,0,1097130,1582358,485228,1097130,0
33ae09c9c41578df56377e981ba2b9b0,0,1097130,1582358,485228,1097130,0
f3b29e36a3ded4a49bf3937730d6b0d9,0,1466250,1582358,116108,1466250,0
cb3eada9a4e54195e840fcd9d652a0e6,0,1097130,1582358,485228,1097130,0
aa7f71f906200ade61bba505156343cc,0,1466250,1582358,116108,1466250,0
1bf8facac63ffdc54195d80db579dc44,0,1466250,1582358,116108,1466250,0
9a50bc868171124750e83105352aa103,0,1582358,1582358,0,1582358,0
18b1b9218ae635dbb2b810548477627a,0,1097130,1582358,485228,1097130,0
9cbae8f5bb8e68663e2253f8450a1aee,0,1466250,1582358,116108,1466250,0
d0cde5bd4442d9fa6e88e6c35e4ce761,0,1466250,1582358,116108,1466250,0
7638c8061f9cb0dc0c3f7c614ac52725,0,1466250,1582358,116108,1466250,0
0894623296ecae40349eff74e4fa1f1f,0,1097130,1582358,485228,1097130,0
11c8b98d184d12b146f526d8f293e7ec,0,1097130,1582358,485228,1097130,0
b35dccab32d90d4f338abd8ed4b26dc3,0,1097130,1582358,485228,1097130,0
c8a0e79073629bb1dfea2112c07a774c,0,1097130,1582358,485228,1097130,0
c2f07e1733ad5ebfbe88acaf67492dc1,0,1097130,1582358,485228,1097130,0
a3b407c230940e557d657ab7511e0a9f,0,1466250,1582358,116108,1466250,0
eef6e5ae52430e3b0698be05c1fe3a9b,0,1582358,1582358,0,1582358,0
d6cd98bb6eca8e5b95db9c54bd84ea86,0,1466250,1582358,116108,1466250,0
78bb5e4a381096b9e4d9c2fad4667c86,0,1097130,1582358,485228,1097130,0
2587c2234c4fb65a0a5063c3370dd092,0,1409828,1582358,172530,1409828,0
91c92016c671a6b466e3e3ea2fe76332,0,1097130,1582358,485228,1097130,0
f396403dc774936876f60f7de00cca5c,0,1466250,1582358,116108,1466250,0
fe18a5d044e42fbe9eae40a118c50968,0,1097130,1582358,485228,1097130,0
b7f9552d3ed992c211e581de166c96f2,0,1466250,1582358,116108,1466250,0
d41d698fd2ae26307528cd4a0c6de5e8,0,1466250,1582358,116108,1466250,0
9d77b5cbba6899a17c23ea5871ad5fba,0,1466250,1582358,116108,1466250,0
6f59ec06cb29413b932ee110eafb078e,0,1466250,1582358,116108,1466250,0
28e6e65b854158d6721d0151943c148f,0,1097130,1582358,485228,1097130,0
0292e2d214e6c58dc2e463cc4281b1e4,0,1097130,1582358,485228,1097130,0
233c499813255c56f48412527c597520,0,1097130,1582358,485228,1097130,0
59e410269c9f81d926f9de2343e6aa62,0,1097130,1582358,485228,1097130,0
